Record ID,Company name,Company Domain Name,Website URL,LinkedIn Company Page,Phone Number,Street Address,City,State/Region,Postal Code,Country/Region,Industry,Number of Employees,Lifecycle Stage,Company owner,Last Activity Date,Create Date,Number of Associated Contacts,Number of Associated Deals,Lead Status,Number of Form Submissions,Recent Conversion Date,First Conversion,Additional Domains
15303989772,SalesQualia,salesqualia.com,salesqualia.com,https://linkedin.com/company/salesqualia,14155960804,,San Francisco,California,94103,United States,Computer Software,3,Contact,,2023-03-31 23:49,2023-03-27 7:53,3,,,0,,,
35606117697,Salem Hospital,salemhealth.org,https://salemhealth.org,https://linkedin.com/company/salem-health,15035615765,890 Oak Street Southeast,Salem,OR,97301,United States,Hospital & Health Care,6409,Contact,Lisa Israelovitch,,2025-02-16 12:00,2,,New,1,2026-02-09 19:08,Learn more about AssistIQ and enter to win an Oura Ring: Demo Request,
50632436383,Saint Anthony Hospital,sahchicago.org,sahchicago.org,,,2875 W 19th St.,Chicago,IL,60623,,,,Contact,Stephen Boswell,2026-02-06 12:19,2026-02-05 16:15,1,,,0,,,
8777768250,RWJBarnabas Health Inc,rwjbh.org,rwjbh.org,https://linkedin.com/company/rwjbarnabashealth,18887247123,94 Old Short Hills Rd.,Livingston,NJ,7039,United States,Hospital & Health Care,40511,Opportunity,Lisa Israelovitch,2026-02-09 14:09,2022-05-24 16:50,31,1,Open Deal,1,2026-02-03 12:35,Learn more about AssistIQ: Demo Request,barnabashealth.org
8903410801,Rutgers University,rjms.rutgers.edu,rjms.rutgers.edu,https://linkedin.com/school/rutgersu, +1 210-821-4105,57 U.S. 1,Newark,New Jersey,8901,United States,Hospital & Health Care,1404,,Howard Fried (Deactivated User),,2022-06-13 8:24,1,,,0,,,
50623291146,Russell Medical Center,russellmedcenter.com,russellmedcenter.com,,,3316 Hwy. 280,Alexander City,AL,35010,,,,Contact,MacKenzie Masten,,2026-02-05 16:15,1,,,0,,,
15507158355,Rush University Medical Center,rush.edu,https://www.rush.edu,https://www.linkedin.com/company/rush-university-medical-center,13129426979,1653 West Congress Parkway,Chicago,IL,60612,United States,Hospital & Health Care,10000,Contact,Michael Stamatinos (Deactivated User),2024-04-09 10:00,2023-04-19 12:35,5,,New,0,,,
16965722438,Rubrum Advising,rubrumadvising.com,rubrumadvising.com,https://linkedin.com/company/rubrum-advising,,,,,,,Professional Training & Coaching,,Contact,Lisa Israelovitch,2023-09-12 22:02,2023-08-15 15:29,2,,,0,,,
39110018596,Royal Marsden,rmh.nhs.uk,rmh.nhs.uk,,,,,,,,,,Contact,,,2025-09-03 6:56,1,,,1,2025-09-03 6:56,Owensboro Health Case Study: OB Case Study Download,
9038434891,Royal Bank of Canada,rbc.com,rbc.com,https://linkedin.com/company/rbc,18007692511,3010 N Center St #2100,Montreal,Quebec,55402,Canada,Banking,87000,,Lisa Israelovitch,2026-01-21 14:30,2022-07-02 8:07,6,,,0,,,
36030882656,Roosevelt General Hospital,myrgh.org,https://www.myrgh.org,https://linkedin.com/company/roosevelt-general-hospital,15753591800,42121 U.S. 70,Portales,New Mexico,88130,United States,Hospital & Health Care,280,Contact,Josh Buehler,2025-07-25 16:00,2025-07-11 11:30,1,,New,1,2025-07-11 11:30,AssistIQ Interest Form: General Interest Form,
42878762537,Ronin Surgical,roninsurgical.com,roninsurgical.com,https://linkedin.com/company/ronin-surgical-corp,14152269414,10573 West Pico Boulevard,Los Angeles,California,90064,United States,Medical Devices,30,Contact,Josh Buehler,,2025-10-27 11:46,1,,,0,,,
42788203184,Rock West Medical,rockwestmedical.com,rockwestmedical.com,,13477818157,2717 North 118th Street,Omaha,Nebraska,68164,United States,"Health, Wellness and Fitness",,Contact,Josh Buehler,,2025-10-27 11:46,1,,,0,,,
43228031108,Rochester Regional Health,rochesterregional.org,rochesterregional.org,https://linkedin.com/company/rochesterregionalhealth,15859221900,100 Kings Highway South,Rochester,New York,14621,United States,Hospital & Health Care,19400,Contact,Josh Buehler,2025-11-04 11:35,2025-10-29 15:11,2,,New,1,2025-10-29 15:11,Coffee at Beckers: Pitchers - 2025,
8577063710,Roche,roche.com,roche.com,https://linkedin.com/company/roche,41616881111,124 Grenzacherstrasse,Basel,Kanton Basel-Stadt,4058,Switzerland,Pharmaceuticals,100920,,,2022-12-21 14:58,2022-05-01 23:38,1,,,0,,,
39354462789,Riverview Health,riverview.org,riverview.org,https://linkedin.com/company/riverview-hospital,13177730760,395 Westfield Road,Noblesville,Indiana,46060,United States,Hospital & Health Care,1528,Contact,,,2025-09-11 13:33,2,,New,0,,,
10855701924,Rippling,rippling.com,rippling.com,https://linkedin.com/company/rippling, +1 415-213-4838,2570 Folsom St,San Francisco,California,94110,United States,Computer Software,1750,Contact,,,2023-01-18 18:02,1,,,0,,,
13912468499,Rink Ventures,rinkventures.com,rinkventures.com,https://linkedin.com/company/rinkventures, +1 613-878-8453,,Ottawa,Ontario,,Canada,,5,Contact,,,2023-02-16 15:31,1,,,0,,,
49744841124,Ridgeview Medical Center Health System,ridgeviewmedical.org,ridgeviewmedical.org,,,,,,,,,,Contact,,,2026-01-26 18:09,0,,New,,,,
10080229401,Rhum,rhum.hr,rhum.hr,https://linkedin.com/company/rhumhr,,,Montreal,Quebec,,Croatia,Human Resources,30,Lead,,2023-02-28 8:31,2022-11-15 9:35,3,,,0,,,
11070077563,Rhino Ventures,rhinovc.com,rhinovc.com,https://linkedin.com/company/rhinovc,,,Vancouver,British Columbia,,Canada,Venture Capital & Private Equity,30,Contact,,2023-05-05 13:29,2023-01-26 18:39,1,,,0,,,
13207658025,Revmedica,revmedica.com,revmedica.com,https://linkedin.com/company/revmedica-inc,,,New Haven,Connecticut,6510,United States,Medical Devices,5,Contact,,2023-03-31 8:59,2023-02-13 22:22,1,,,0,,,
17605014385,Resolve Growth Partners,resolvegrowth.com,resolvegrowth.com,https://linkedin.com/company/resolvegrowth, +1 443-948-5830,1010 Fleet Street,Baltimore,Maryland,21202,United States,Investment Management,30,Contact,Lisa Israelovitch,2024-08-13 0:27,2023-10-07 22:12,1,,,0,,,
10367802778,Réseau MAclinique,reseaumaclinique.com,reseaumaclinique.com,https://linkedin.com/company/reseau-maclinique, +1 581-814-2701,725 Boulevard Lebourgneuf,Quebec,Quebec,G2J 1S1,Canada,,60,Lead,,2023-04-12 8:22,2022-12-15 22:47,2,,,0,,,
49780635758,Regions Hospital Community Paramedicine Program,regionsems.com,regionsems.com,,,,,,,,,,Contact,,,2026-01-26 18:09,0,,New,,,,
17896839585,Reformation Partners,reformation.vc,reformation.vc,https://linkedin.com/company/reformation-partners,,,New York,New York,10001,United States,Venture Capital & Private Equity,5,Contact,Lisa Israelovitch,2023-11-07 9:30,2023-10-31 13:24,1,,,0,,,
19714767383,Refinery Ventures,refinery.com,refinery.com,https://linkedin.com/company/refinery-ventures,18703367300,1311 Vine Street,Cincinnati,Ohio,45202,United States,Venture Capital & Private Equity,125,Opportunity,Samira Khajehi (Deactivated User),2024-12-07 8:00,2024-03-27 9:27,1,1,,0,,,
39356169005,Reeves Regional Health,reevesregional.com,reevesregional.com,,14324473551,,Pecos,Texas,79772,United States,Hospital & Health Care,30,Contact,,,2025-09-11 13:33,1,,New,0,,,
39402468437,Red Rock Surgery Center,redrocksurgerycenter.com,redrocksurgerycenter.com,https://linkedin.com/company/red-rock-surgery-center,17022275848,7135 W Sahara Ave,Las Vegas,Nevada,89117,United States,Hospital & Health Care,3,Contact,,,2025-09-11 13:33,1,,,0,,,
29829648389,ReadySet Surgical,readysetsurgical.com,readysetsurgical.com,https://linkedin.com/company/readyset-surgical, +1 888-344-7323,1776 Mentor Avenue,Cincinnati,Ohio,45212,United States,Hospital & Health Care,46,Contact,Lisa Israelovitch,2025-10-17 11:00,2025-02-10 23:48,2,,,0,,,
9824128632,RBC Capital Markets,rbccm.com,rbccm.com,https://linkedin.com/company/rbc-capital-markets,12124286200,200 Bay Street,Toronto,Ontario,M5J 2J2,Canada,Investment Banking,7800,Lead,,2022-11-29 20:50,2022-10-17 8:09,2,,,0,,,
8895830094,Raymond James,raymondjames.ca,raymondjames.ca,https://linkedin.com/company/raymondjames-canada, +1 416 777 7000,1000 1175 Douglas St,Toronto,Ontario,M5H 3Y2,Canada,Financial Services,15000,,,2022-06-11 9:12,2022-06-11 0:12,0,,,,,,
9701201456,Raymond Chabot Grant Thornton,rcgt.com,rcgt.com,https://linkedin.com/company/raymond-chabot-grant-thornton,5148782691,600 Rue De La Gauchetière Ouest,Montreal,Quebec,H3B 4L8,Canada,Accounting,3000,Lead,,2022-12-01 8:59,2022-09-30 7:51,2,,,0,,,
46907952030,Ramsay Health,ramchealth.org,ramchealth.org,,16087686135,2000 North Dewey Avenue,Reedsburg,Wisconsin,53959,United States,Hospital & Health Care,3,Contact,,,2025-12-09 14:23,1,,,0,,,
49762171950,Rady Childrens Health (FKA CHOC Childrens),choc.org,choc.org,,,,,,,,,,Contact,,,2026-01-26 18:09,0,,New,,,,
20790834493,Radian Capital,radiancapital.com,radiancapital.com,https://linkedin.com/company/radian-capital,16468381127,1250 Broadway,New York,New York,10001,United States,Venture Capital & Private Equity,25,Opportunity,Josh Buehler,2025-12-01 15:56,2024-05-13 17:36,1,1,,0,,,
39352142670,Quorum Health,qhcus.com,qhcus.com,,12568453150,,,,,,,,Contact,Josh Buehler,2025-10-06 6:39,2025-09-11 13:33,1,,New,0,,,
50625575948,Queensway Carleton Hospital,qch.on.ca,qch.on.ca,,,3045 Baseline Rd.,Ottawa,ON,K2H 8P4,,,,Contact,MacKenzie Masten,,2026-02-05 16:15,1,,,0,,,
8778517333,Quebec International Relations Ministry,mri.gouv.qc.ca,mri.gouv.qc.ca,https://linkedin.com/company/gouvernement-du-quebec-carriere,8776444545,875 Grande Allée Est,Quebec,Quebec,G1K 7T3,Canada,Government Administration,3847,,Lisa Israelovitch,2026-01-27 6:53,2022-05-24 17:41,3,,,0,,,
18466987528,Quebec Health Ministry,msss.gouv.qc.ca,msss.gouv.qc.ca,https://linkedin.com/company/gouvernement-du-quebec-carriere,8776444545,800 Place Dyouville,Quebec,Quebec,G1G 1G1,Canada,Government Administration,3847,Contact,Abbygaiël Jean-Baptiste (Deactivated User),,2023-12-19 15:34,3,,,0,,,
8691865981,Quebec Economy Ministry staff,economie.gouv.qc.ca,economie.gouv.qc.ca,https://linkedin.com/company/gouvernement-du-quebec-carriere,15144992199,875 Grande Allée Est,Quebec,Quebec,G1K 7T3,Canada,Government Administration,773,,Lisa Israelovitch,2023-11-13 15:03,2022-05-13 16:13,13,,,0,,,
16997695404,Quartier de l'Innovation en Santé,qisante.ca,qisante.ca,https://linkedin.com/company/quartier-de-l-innovation-en-sant,,,,,,Canada,Hospital & Health Care,10,Contact,Lisa Israelovitch,,2023-08-17 15:00,2,,,0,,,
9647132081,Q-Reviews,q-reviews.com,q-reviews.com,https://linkedin.com/company/quality-reviews-inc, +1 646-875-8829,222 Broadway,New York,New York,10038,United States,"Health, Wellness and Fitness",21,Lead,,2024-07-23 16:00,2022-09-22 14:37,1,,,0,,,
8967845706,PwC,pwc.com,pwc.com,https://linkedin.com/company/pwc,18133516919,1 Embankment Place,St James's,England,WC2N 6RH,United Kingdom,Management Consulting,370000,Contact,Josh Buehler,2025-12-03 9:30,2022-06-22 13:26,9,,,1,2025-04-17 10:07,2025 ORBM Webinar Registration: ORBM Webinar Form,
9938799456,Puzzle Partner,puzzlepartner.ca,puzzlepartner.ca,https://www.linkedin.com/company/5263434,,,,,,Canada,Hospitality,6,Lead,,,2022-10-31 11:53,1,,,0,,,
43216578613,Punxsutawney Area Hospital,pah.org,https://www.pah.org,,18149381800,81 Hillcrest Drive,Punxsutawney,Pennsylvania,15767,United States,Hospital & Health Care,3,Contact,,,2025-10-30 21:47,1,,,,,,
39363074677,Pullman Regional Hospital,pullmanregional.org,pullmanregional.org,https://linkedin.com/company/pullman-regional-hospital,15093367514,835 Southeast Bishop Boulevard,Pullman,Washington,99163,United States,Hospital & Health Care,359,Contact,,,2025-09-11 13:33,2,,,0,,,
18868077172,PSG Equity,psgequity.com,psgequity.com,https://linkedin.com/company/psgequity, +1 617-544-8800,401 Park Drive,Boston,Massachusetts,2215,United States,Financial Services,380,Contact,Lisa Israelovitch,2025-12-10 15:00,2024-01-28 8:16,1,,,0,,,
39362773648,Proximie,proximie.com,proximie.com,https://linkedin.com/company/proximie,,13 Hanover Square,City of Westminster,England,W1S 1HN,United Kingdom,Hospital & Health Care,150,Contact,Lisa Israelovitch,2026-02-10 12:06,2025-09-11 13:33,3,,,0,,,
16069100442,Providence,providence.org,providence.org,https://linkedin.com/company/providencehealthsystem,18006278106,1801 Lind Avenue Southwest,Renton,Washington,98057,United States,Hospital & Health Care,120000,Contact,Lisa Israelovitch,2025-10-15 9:25,2023-06-14 14:06,10,,New,0,,,
14918504512,Protech,protech-lp.com,protech-lp.com,https://linkedin.com/company/protech-lp, +1 514-765-7354,10174 AVENUE DE LONDON,Montréal,Quebec,H1H 4H3,Canada,Printing,5,Contact,,2023-03-23 14:53,2023-03-01 12:37,1,,,0,,,
9019091493,Propulia Capital,propuliacapital.ai,propuliacapital.ai,https://linkedin.com/company/propulia-capital,15145000397,,Montreal,Quebec,,Canada,Investment Management,5,,,2022-10-07 18:08,2022-06-29 15:27,3,,,0,,,
18741668402,ProMedica,promedica.org,promedica.org,https://linkedin.com/company/promedica,18443730871,100 Madison Avenue,Toledo,Ohio,43604,United States,Hospital & Health Care,56000,Customer,Lisa Israelovitch,2026-02-09 15:00,2024-01-16 17:40,8,1,New,0,,,
11210249091,Prinnovo,prinnovo.com,prinnovo.com,https://linkedin.com/company/prinnovo,404-502-4284,1250 Revolution Mill Drive,Greensboro,North Carolina,27405,United States,Consumer Services,15,Contact,Lisa Israelovitch,2023-07-07 13:23,2023-01-27 17:04,2,,,0,,,
10812655747,Prime Healthcare Services,primehealthcare.com,primehealthcare.com,https://linkedin.com/company/prime-healthcare,19092354400,3300 E Guasti Rd,Ontario,California,91761,United States,Hospital & Health Care,50000,Contact,Josh Buehler,,2023-01-16 20:40,5,,New,0,,,
30408031539,Press Ganey,pressganey.com,https://www.pressganey.com,https://linkedin.com/company/press-ganey-associates, +1 574-232-3387,,Wakefield,Massachusetts,1880,United States,Hospital & Health Care,3000,Contact,Lisa Israelovitch,,2025-02-26 10:21,1,,,0,,,
39355703219,Presaj,presaj.org,presaj.org,https://linkedin.com/company/presaj,15152942030,,Cedar Rapids,Iowa,52403,United States,Hospital & Health Care,10,Contact,,,2025-09-11 13:33,1,,,0,,,
16950474595,Practice Greenhealth,practicegreenhealth.org,practicegreenhealth.org,https://www.linkedin.com/company/practice-greenhealth,6037959966,12355 Sunrise Valley Drive,Reston,Virginia,20190,United States,Hospital & Health Care,30,Contact,Lisa Israelovitch,,2023-08-14 15:25,1,,,0,,,
39355703217,Powers Health,powershealth.org,powershealth.org,,12193927424,1500 S Lake Park Ave.,Hobart,IN,46342,,,7500,Contact,Josh Buehler,2026-02-06 12:24,2025-09-11 13:33,3,,New,1,2026-02-03 12:35,Learn more about AssistIQ: Demo Request,
11482433453,Postmedia,postmedia.com,postmedia.com,https://linkedin.com/company/postmedia-network-inc, +1 416 383 2300,365 Bloor Street East,Toronto,Ontario,M4W 1H7,Canada,Newspapers,2098,Contact,,,2023-01-30 20:00,1,,,0,,,
44098840422,Pomona Valley Hospital Medical Center,pvhmc.org,pvhmc.org,https://linkedin.com/company/pomona-valley-hospital-medical-center,,1798 North Garey Avenue,Pomona,California,91767,United States,Hospital & Health Care,2250,Contact,,,2025-11-06 14:19,1,,New,0,,,
15486276972,Polytechnique Montréal,polymtl.ca,polymtl.ca,https://linkedin.com/school/polytechnique-montreal, +1 514 340 4711,2500 Polytechnique Road,Montreal,Quebec,H3T 1J4,Canada,Higher Education,1500,Contact,,2023-08-29 14:00,2023-04-17 11:23,1,,,0,,,
8960714100,PME MTL,pmemtl.com,pmemtl.com,https://linkedin.com/company/pme-mtl, +1 514-426-2888,630 Sherbrooke Street West,Montreal,Quebec,H3A 1E4,Canada,Management Consulting,210,,,,2022-06-21 17:19,1,,,0,,,
9678405123,Plug and Play Tech Center,pnptc.com,pnptc.com,https://www.linkedin.com/company/plug-and-play-tech-center,14085241400,440 N Wolfe Rd,Sunnyvale,California,94085,United States,Information Technology and Services,720,Lead,,2023-05-18 20:56,2022-09-27 15:17,3,,,0,,,
10030158753,Planned,planned.com,planned.com,https://linkedin.com/company/itsplanned, +1 888-575-2648,300 Rue de la Montagne,Quebec,Quebec,H3C 2B1,Canada,Events Services,50,Lead,,2025-04-16 18:00,2022-11-08 14:30,1,,,0,,,
39365090680,PipCare,pipcare.com,pipcare.com,https://linkedin.com/company/pipcare,14125592431,,New York,New York,10001,United States,Hospital & Health Care,30,Contact,,,2025-09-11 13:33,2,,,0,,,
30409241767,Piedmont Atlanta Hospital,,piedmont.org,https://linkedin.com/company/piedmonthealth, +1 678-503-1900,1968 Peachtree Road Northwest,Atlanta,Georgia,30309,United States,Hospital & Health Care,3470,Contact,Lisa Israelovitch,,2025-02-26 10:21,4,,New,0,,,
39351912268,Piedmont,piedmont.org,piedmont.org,https://linkedin.com/company/piedmonthealth, +1 678-503-1900,1968 Peachtree Road Northwest,Atlanta,Georgia,30309,United States,Hospital & Health Care,3470,Contact,,,2025-09-10 15:41,4,,New,0,,,
30401006371,Physician Partners of America,physicianpartnersofamerica.com,physicianpartnersofamerica.com,https://linkedin.com/company/physician-partners-of-america,,4730 North Habana Avenue,Tampa,Florida,33614,United States,"Health, Wellness and Fitness",390,Contact,Lisa Israelovitch,,2025-02-26 10:21,1,,New,0,,,
30421729133,Perioperative Solutions LLC,perioperativesolutions.com,https://perioperativesolutions.com,,14042426360,76295 PO Box,Atlanta,Georgia,30358,United States,Consumer Services,,Contact,Lisa Israelovitch,,2025-02-26 10:21,1,,,0,,,
10218166696,PEP Concept,pepconcept.com,pepconcept.com,https://linkedin.com/company/pepconcept,5142700300,5500 Rue Fullum,Montreal,Quebec,H2G 2H3,Canada,Marketing and Advertising,15,Lead,,2023-03-24 13:55,2022-12-01 9:32,3,,,0,,,
8896964685,pennylove.com,pennylove.com,pennylove.com,,,,,,,,,,,,2022-07-11 11:26,2022-06-11 13:30,1,,,0,,,
45778150407,Penn State,pennstatehealth.psu.edu,pennstatehealth.psu.edu,https://linkedin.com/school/penn-state-university,8148654700,253 South Burrowes Street,University Park,Pennsylvania,16802,United States,Higher Education,8860,Contact,Lisa Israelovitch,2025-07-28 20:04,2023-09-12 22:16,4,,New,0,,,pennstatehealth.org; hmc.psu.edu
9327389497,Penn Medicine ,pennmedicine.upenn.edu,pennmedicine.upenn.edu,https://www.linkedin.com/company/university-of-pennsylvania,12156156633,3819 Chestnut Street,Philadelphia,Pennsylvania,19113,United States,Higher Education,10,Contact,,2022-08-16 21:12,2022-08-05 15:14,1,,New,0,,,pennmedicine.org; upenn.edu
15598338918,PenderFund,penderfund.com,penderfund.com,https://linkedin.com/company/penderfund-capital-management,8663774743,1066 West Hastings Street,Vancouver,British Columbia,V6E 3X2,Canada,Investment Management,30,Contact,Lisa Israelovitch,2023-08-02 11:15,2023-04-27 17:27,1,,,0,,,
30409178141,Pegasys Medical,pegasysmed.com,https://pegasysmed.com,https://linkedin.com/company/pegasys-medical,18168052937,,Mission Viejo,California,,United States,Hospital & Health Care,3,Contact,Lisa Israelovitch,,2025-02-26 10:21,1,,,0,,,
35594806630,PeaceHealth,peacehealth.org,peacehealth.org,https://linkedin.com/company/peacehealth,13607291340,505 NE 87th Ave,Vancouver,Washington,98664,United States,Hospital & Health Care,16000,Contact,Greg Zenko,2025-07-28 19:47,2025-06-30 13:58,3,,New,0,,,
35611093034,PayEvo,paymentevolution.com,paymentevolution.com,https://www.linkedin.com/company/paymentevolution,6477767600,2601 Matheson Boulevard East,Mississauga,Ontario,L4W 5A8,Canada,Financial Services,250,Lead,Lisa Israelovitch,2022-12-06 14:52,2022-10-06 16:49,3,,,0,,,corp.paymentevolution.com
11466084214,Pave,pave.com,pave.com,https://linkedin.com/company/pave-com, +1 212-555-1212,200 Varick Street,New York,New York,10014,United States,Information Technology and Services,21,Contact,,2023-02-03 13:27,2023-01-30 12:57,1,,,0,,,
42788833610,Parrish Medical Center,parrishmed.com,parrishmed.com,https://linkedin.com/company/parrish-medical-center,,951 North Washington Avenue,Titusville,Florida,32796,United States,,3500,Contact,Josh Buehler,,2025-10-27 14:54,2,,,0,,,
10347577201,Paretisa,paretisa.com,paretisa.com,https://linkedin.com/company/getparetisa,,1809 East 11th Street,Tulsa,Oklahoma,74104,United States,Human Resources,10,Lead,,,2022-12-13 19:20,1,,,0,,,
10319205220,Paperplane Therapeutics,paperplanetherapeutics.com,paperplanetherapeutics.com,https://linkedin.com/company/paperplane-therapeutics,,355 Rue Peel,Montreal,Quebec,H3C 2G9,Canada,Biotechnology,5,Lead,,2025-10-06 17:00,2022-12-11 22:25,1,,,0,,,
39363779641,Pandion Optimization Alliance,pandionalliance.com,pandionalliance.com,https://linkedin.com/company/pandionalliance,18887324282,,Fairport,New York,14450,United States,Management Consulting,50,Contact,,,2025-09-10 15:41,1,,,0,,,
8748407632,Panache Ventures,panache.vc,panache.vc,https://linkedin.com/company/panache-ventures,14035602384,3 Place Ville Marie,Montreal,Alberta,,Canada,Venture Capital & Private Equity,20,,,2022-08-16 9:19,2022-05-20 12:59,3,,,0,,,
8895752800,Pampered Tot,pamperedtot.com,pamperedtot.com,https://linkedin.com/company/pampered-tots,13103723090,2460 Concord Church Road,Columbia,Tennessee,38401,United States,Retail,5,,,2022-06-11 9:12,2022-06-11 0:12,1,,,0,,,
39364631712,Palomar Health,palomarhealth.org,palomarhealth.org,https://linkedin.com/company/palomar-health,,2185 West Citracado Parkway,Escondido,California,92029,United States,Hospital & Health Care,2500,Contact,,,2025-09-11 13:33,1,,New,0,,,
39357549996,Pacific Coast Anesthesia Consultants,pacificcoastanesthesia.com,pacificcoastanesthesia.com,,,,,,,,,80,Contact,,,2025-09-11 13:33,1,,,0,,,
39370513771,Pacific Anesthesia,pacificanesthesia.org,pacificanesthesia.org,https://linkedin.com/company/pacificanesthesia,18087929888,321 North Kuakini Street,Honolulu,Hawaii,96817,United States,Hospital & Health Care,125,Contact,,,2025-09-11 13:33,1,,,0,,,
17604521529,PACE Healthcare Capital,pace-healthcare.com,pace-healthcare.com,https://linkedin.com/company/pace-healthcare-capital,,,Chicago,Illinois,60654,United States,"Health, Wellness and Fitness",5,Contact,Lisa Israelovitch,2023-12-07 11:00,2023-10-07 16:18,1,,,0,,,
18106851849,Owensboro Health,owensborohealth.org,owensborohealth.org,https://linkedin.com/company/owensboro-health,18778886647,1201 Pleasant Valley Road,Owensboro,Kentucky,42303,United States,Hospital & Health Care,4300,Customer,Lisa Israelovitch,2026-02-10 14:00,2023-11-16 10:27,22,1,,2,2026-01-13 16:42,Owensboro Health Case Study: OB Case Study Download,
17737292155,OVHcloud,ovhcloud.com,ovhcloud.com,https://linkedin.com/company/ovhgroup,,2 Rue Kellermann,Roubaix,Hauts-de-France,59100,France,Information Technology and Services,2766,Contact,Lisa Israelovitch,2023-10-27 15:00,2023-10-19 17:49,1,,,0,,,
50632190090,Overlake Medical Center & Clinics,overlakehospital.org,overlakehospital.org,https://linkedin.com/company/overlake-medical-center-and-clinics,14256885000,1035 116th Avenue Northeast,Bellevue,Washington,98004,United States,Hospital & Health Care,1500,Contact,MacKenzie Masten,,2026-02-03 17:26,2,,,1,2026-02-10 14:55,Learn more about AssistIQ and enter to win an Oura Ring: Demo Request,
49762945965,OU Health (FKA OU Medicine),ouhealth.com,ouhealth.com,,,,,,,,,,Contact,,,2026-01-26 18:09,0,,New,,,,
18002808919,osumc.edu,osumc.edu,osumc.edu,https://www.linkedin.com/company/the-ohio-state-university,6142926446,450 W 10th Ave,Columbus,Ohio,43210,United States,Higher Education,23970,Lead,Lisa Israelovitch,2025-06-30 8:13,2023-11-08 14:11,7,1,In Progress,0,,,
15509408568,"Osler, Hoskin & Harcourt",osler.com,osler.com,https://linkedin.com/company/osler-hoskin, +1 212-991-2541,100 King Street West,Toronto,Ontario,M5X 1A9,Canada,Law Practice,2000,Contact,Lisa Israelovitch,2025-10-22 14:00,2023-04-19 15:01,3,,,0,,,
35584420001,OSF HealthCare,osfhealthcare.org,osfhealthcare.org,https://linkedin.com/company/osf-healthcare,16184652571,800 Northeast Glen Oak Avenue,Peoria,Illinois,61656,United States,Hospital & Health Care,25246,Contact,Greg Zenko,2025-07-28 18:57,2025-06-30 13:37,6,,New,1,2026-02-10 14:25,Learn more about AssistIQ and enter to win an Oura Ring: Demo Request,
39366487716,OrthoNeuro,orthoneuro.com,orthoneuro.com,https://linkedin.com/company/orthoneuro,16148906555,433 North Cleveland Avenue,Westerville,Ohio,43082,United States,Consumer Services,175,Contact,,,2025-09-11 13:33,1,,,0,,,
50659364451,OrthoNebraska,orthonebraska.com,orthonebraska.com,,,2808 S 143rd Plaza,Omaha,NE,68144,,,,Contact,Stephen Boswell,2026-02-06 12:23,2026-02-05 16:15,1,,,0,,,
11064298143,orlandohealthventures.com,orlandohealthventures.com,orlandohealthventures.com,https://www.linkedin.com/company/orlando-health, +1 321-841-8623,1414 South Kuhl Avenue,Orlando,FL,32806,United States,Hospital & Health Care,50000,Contact,,2025-04-28 12:00,2023-01-26 16:49,1,,,0,,,
10884686683,Orlando Health,orlandohealth.com,orlandohealth.com,https://linkedin.com/company/orlando-health, +1 321-841-8623,1414 South Kuhl Avenue,Orlando,Florida,32806,United States,Hospital & Health Care,6852,Contact,Lisa Israelovitch,2025-04-28 12:38,2023-01-20 8:44,6,,New,0,,,
17529822032,Orbiit,orbiit.ai,orbiit.ai,https://linkedin.com/company/orbiit, +1 347-430-7890,641 5th Avenue,New York,New York,10022,United States,Information Technology and Services,15,Contact,Lisa Israelovitch,,2023-09-30 12:03,0,,,,,,
38502886036,Optum Ventures,optumventures.com,optumventures.com,https://linkedin.com/company/optumventures, +1 952-936-1300,75 State Street,Boston,Massachusetts,2109,United States,Venture Capital & Private Equity,45,Contact,Josh Buehler,2025-09-18 14:30,2025-08-21 15:11,3,,,0,,,
45872027978,Optum,optum.com,optum.com,https://linkedin.com/company/optum, +1 952-936-1300,11000 Optum Circle,Eden Prairie,Minnesota,55344,United States,"Health, Wellness and Fitness",310000,Opportunity,Lisa Israelovitch,2026-01-16 20:19,2024-05-09 9:07,21,1,,0,,,optum360.com
10903910277,Optimal Innovation,optimalinnovationgroup.com,optimalinnovationgroup.com,https://linkedin.com/company/optimal-innovation-group-inc,,2115 South Service Road West,Oakville,Ontario,L6L 5W2,Canada,Professional Training & Coaching,5,Contact,,2023-10-04 8:41,2023-01-22 19:40,2,,,0,,,
30420953997,Opmed.ai,opmed.ai,https://www.opmed.ai,,972732122300,,,,,,,43,Contact,Lisa Israelovitch,,2025-02-26 10:21,1,,,0,,,
8109980225,Operator Partners,operatorpartners.com,operatorpartners.com,https://linkedin.com/company/operator-partners,,,New York,New York,10011,United States,Financial Services,5,,,2026-02-10 10:04,2022-03-05 21:48,1,,,0,,,
30034336103,Onvida Health,onvidahealth.org,https://www.onvidahealth.org,https://linkedin.com/company/yuma-regional-medical-center, +1 928-336-2273,2400 S Ave. A,Yuma,AZ,85364,United States,Hospital & Health Care,,Marketing Qualified Lead,Lisa Israelovitch,2026-02-06 11:52,2025-02-16 12:00,3,,New,0,,,yumaregional.org
18161658943,Ontario's Anesthesiologists,ontariosanesthesiologists.ca,ontariosanesthesiologists.ca,https://linkedin.com/company/ontario,16472914338,78 DEWHURST BLVD,Toronto,Ontario,M4J 3J3,Canada,Hospital & Health Care,600,Contact,Lisa Israelovitch,2023-11-28 19:00,2023-11-20 20:34,1,,New,0,,,
